id,qname,heading,text,type,diagram,website,updated
,LogicalOperatorCode,LogicalOperatorCode,"A code that indicates how the members of a ConditionSet are combined (for example AND, OR, XOR, NOT, etc.).",Class,https://w3id.org/itsdata/regulation/v1/diagrams/LogicalOperatorCode.dot.svg,https://w3id.org/itsdata/regulation/v1/LogicalOperatorCode,2026-07-21T18:08:15.348954
,MeasurableCondition,MeasurableCondition,A condition that is based on a comparison between a measurable value and a threshold value.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/MeasurableCondition.dot.svg,https://w3id.org/itsdata/regulation/v1/MeasurableCondition,2026-07-21T18:08:15.348954
,MeasurableConditionCode,MeasurableConditionCode,"A code that indicates the type of measurable condition that is assessed, including both the type of measure and the type of entity being measured.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/MeasurableConditionCode.dot.svg,https://w3id.org/itsdata/regulation/v1/MeasurableConditionCode,2026-07-21T18:08:15.348954
,NonVehicularRoadUserCode,NonVehicularRoadUserCode,A code that indicates categories of non-vehicular road users that can affect the applicability of a regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/NonVehicularRoadUserCode.dot.svg,https://w3id.org/itsdata/regulation/v1/NonVehicularRoadUserCode,2026-07-21T18:08:15.348954
,PavementMarking,PavementMarking,"A device that is used to mark the pavement, such as lines, symbols, or text.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/PavementMarking.dot.svg,https://w3id.org/itsdata/regulation/v1/PavementMarking,2026-07-21T18:08:15.348954
,PavementMarkingTypeCode,PavementMarkingTypeCode,A code that indicates the type of pavement marking device.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PavementMarkingTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/PavementMarkingTypeCode,2026-07-21T18:08:15.348954
,Permit,Permit,Certificate that indicates designations that are associated with the grantee.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/Permit.dot.svg,https://w3id.org/itsdata/regulation/v1/Permit,2026-07-21T18:08:15.348954
,PermitApplicationInformation,PermitApplicationInformation,Details about the application of the permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitApplicationInformation.dot.svg,https://w3id.org/itsdata/regulation/v1/PermitApplicationInformation,2026-07-21T18:08:15.348954
,PermitDesignationCode,PermitDesignationCode,A code that indicates the designation of the permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitDesignationCode.dot.svg,https://w3id.org/itsdata/regulation/v1/PermitDesignationCode,2026-07-21T18:08:15.348954
,PermitDisplayTypeCode,PermitDisplayTypeCode,A code that indicates the type of display that is associated with the permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitDisplayTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/PermitDisplayTypeCode,2026-07-21T18:08:15.348954
